title,genres,rating,platform
Demon Slayer,"Slice of Life, Comedy",7.9,Disney+
Fullmetal Alchemist,"Slice of Life, Action",4.0,Amazon Prime
Goblin,"Mystery, Slice of Life, Sci-Fi",5.0,Netflix
One Piece,Horror,4.6,Crunchyroll
Demon Slayer,"Mystery, Adventure",8.4,Crunchyroll
Inception,Supernatural,6.9,Amazon Prime
Vincenzo,Horror,7.4,Viki
Demon Slayer,"Supernatural, Fantasy",9.6,Hulu
The Shawshank Redemption,Thriller,5.7,Netflix
Naruto,"Mystery, Action",4.0,Netflix
The Dark Knight,"Sci-Fi, Action, Slice of Life",6.5,Viki
Pulp Fiction,Supernatural,1.5,Netflix
The Dark Knight,Adventure,9.8,Netflix
Goblin,Sci-Fi,8.8,Netflix
Pulp Fiction,Sci-Fi,2.8,Disney+
Start-Up,"Slice of Life, Drama, Action",3.6,Crunchyroll
The Matrix,Comedy,6.1,Crunchyroll
Goblin,"Action, Comedy",3.6,Netflix
Descendants of the Sun,"Fantasy, Slice of Life, Supernatural",5.1,Hulu
The Matrix,Fantasy,6.3,Netflix
Tokyo Ghoul,"Action, Thriller",1.6,Disney+
Pulp Fiction,"Slice of Life, Drama",3.5,Disney+
Itaewon Class,Fantasy,1.6,Disney+
Pulp Fiction,"Fantasy, Thriller",6.3,Viki
Forrest Gump,"Supernatural, Mystery, Horror",7.3,Netflix
Pulp Fiction,"Drama, Adventure",3.7,Disney+
Descendants of the Sun,Romance,8.5,Viki
The Silence of the Lambs,"Comedy, Sci-Fi, Mystery",9.6,Amazon Prime
One Piece,"Slice of Life, Fantasy, Horror",5.4,Viki
The Matrix,"Mystery, Thriller, Supernatural",6.8,Disney+
Descendants of the Sun,"Thriller, Romance, Mystery",2.5,Hulu
My Hero Academia,"Drama, Comedy, Slice of Life",3.6,Amazon Prime
